car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,engine_in_cc,Seats,manufacture,company_name
Flying Spur W12,6890000,44000,Petrol,Automatic,1st Owner,2967,5,2013,Bentley
GLC 220d 4MATIC Sport,3890000,69000,Diesel,Automatic,1st Owner,2755,7,2017,Mercedes-Benz
A6 3.0 TDI Quattro Premium Plus,1125000,68000,Diesel,Automatic,2nd Owner,1796,5,2013,Audi
Fortuner 2.8 2WD MT BSIV,3100000,60000,Diesel,Manual,1st Owner,2477,7,2019,Toyota
C-Class C 200 CGI Elegance,825000,86000,Petrol,Automatic,1st Owner,1197,5,2011,Mercedes-Benz
Pajero Sport 4X2 AT Dual Tone,1645000,39000,Diesel,Automatic,1st Owner,1198,5,2017,Mitsubishi
Grand i10 Nios Magna,625000,12000,Petrol,Manual,2nd Owner,1999,5,2020,Hyundai
Amaze EX i-Vtech,360000,85000,Petrol,Manual,1st Owner,1248,5,2014,Honda
Rover Discovery Sport TD4 HSE,2950000,120000,Diesel,Automatic,1st Owner,2996,7,2016,Land
SX4 S Cross Zeta DDiS 200 SH,751000,90000,Diesel,Manual,1st Owner,2993,5,2018,Maruti
GLS 400 4MATIC,6250000,80000,Petrol,Automatic,1st Owner,1248,5,2017,Mercedes-Benz
X5 xDrive 30d Expedition,5650000,34000,Diesel,Automatic,1st Owner,1451,6,2019,BMW
Ciaz VDi Plus,465000,72000,Diesel,Manual,1st Owner,1950,5,2015,Maruti
Hector Plus Sharp DCT,1900000,18000,Petrol,Automatic,1st Owner,2143,5,2021,MG
C-Class Progressive C 200,4790000,11000,Petrol,Automatic,1st Owner,1595,5,2021,Mercedes-Benz
E-Class E250 CDI Avantgarde,2590000,60625,Diesel,Automatic,2nd Owner,1197,5,2016,Mercedes-Benz
A Class A180 Sport,1700000,68000,Petrol,Automatic,1st Owner,4663,5,2017,Mercedes-Benz
Baleno 1.2 CVT Delta,525000,75000,Petrol,Automatic,1st Owner,1968,5,2016,Maruti
S-Class S 500 L,4900000,70000,Petrol,Automatic,2nd Owner,2987,7,2015,Mercedes-Benz
Q3 2.0 TDI Quattro Premium Plus,1589000,73000,Diesel,Automatic,1st Owner,1968,5,2015,Audi
GLS 350d 4MATIC,5885000,65000,Diesel,Automatic,1st Owner,2995,5,2017,Mercedes-Benz
Q3 35 TDI Quattro Premium Plus,1750000,70011,Diesel,Automatic,1st Owner,2755,7,2015,Audi
Rover Range Rover 3.0 Petrol LWB Vogue BSIV,19200000,40000,Petrol,Automatic,1st Owner,1968,5,2019,Land
Innova Crysta 2.8 ZX AT BSIV,1750000,67011,Diesel,Automatic,1st Owner,1497,5,2017,Toyota
Yeti Ambition 4X2,325000,103000,Diesel,Manual,1st Owner,1998,5,2013,Skoda
City i-VTEC CVT ZX,949000,50000,Petrol,Automatic,2nd Owner,1197,5,2017,Honda
XC60 B5 Inscripition,6850000,7000,Petrol,Automatic,1st Owner,3198,7,2022,Volvo
Swift Dzire VXI 1.2,640000,30000,Petrol,Manual,1st Owner,1991,5,2019,Maruti
Endeavour Titanium Plus 4X4,3149000,44000,Diesel,Automatic,1st Owner,1353,5,2018,Ford
GLC 300 4MATIC Sport,4800000,28500,Petrol,Automatic,1st Owner,1248,5,2019,Mercedes-Benz
Creta SX Opt Turbo,1975000,8000,Petrol,Automatic,1st Owner,1497,5,2021,Hyundai
Swift VDI,590000,60000,Diesel,Manual,1st Owner,1197,5,2019,Maruti
City V AT,394000,70000,Petrol,Automatic,2nd Owner,1995,5,2012,Honda
Ignis 1.2 Alpha BSIV,435000,80000,Petrol,Manual,1st Owner,1497,5,2018,Maruti
X1 sDrive 20d xLine,3000000,25000,Diesel,Automatic,1st Owner,796,5,2019,BMW
City V MT,1050000,2000,Petrol,Manual,1st Owner,2694,7,2022,Honda
Alto 800 LXI,320000,35000,Petrol,Manual,1st Owner,2987,5,2018,Maruti
Innova Crysta 2.7 ZX AT,2000000,26000,Petrol,Automatic,1st Owner,2184,4,2018,Toyota
Ghibli Diesel BSIV,6600000,12000,Diesel,Automatic,1st Owner,1197,5,2016,Maserati
Thar LX 4-Str Convert Top Diesel AT,1775000,13001,Diesel,Automatic,1st Owner,2143,5,2022,Mahindra
Xcent 1.2 VTVT S,475000,60000,Petrol,Manual,2nd Owner,1199,5,2019,Hyundai
C-Class C 220 CDI Avantgarde,2150000,37000,Diesel,Automatic,2nd Owner,2498,6,2015,Mercedes-Benz
Jazz 1.2 V AT i VTEC,690000,27200,Petrol,Automatic,1st Owner,1462,5,2017,Honda
Thar CRDe,772000,46365,Diesel,Manual,1st Owner,1461,5,2017,Mahindra
Ciaz Alpha BSIV,872000,82496,Petrol,Manual,1st Owner,1248,5,2019,Maruti
Duster 110PS Diesel RxL AMT,651000,73656,Diesel,Automatic,1st Owner,1493,7,2016,Renault
Ciaz ZDi SHVS,543000,92530,Diesel,Manual,1st Owner,1368,5,2016,Maruti
TUV 300 mHAWK100 T8,658000,68364,Diesel,Manual,2nd Owner,1197,5,2017,Mahindra
Compass 1.4 Sport,1261000,30224,Petrol,Manual,1st Owner,1462,5,2018,Jeep
Baleno 1.2 Alpha,585000,88658,Petrol,Manual,1st Owner,2498,6,2017,Maruti
Vitara Brezza ZXI,1053000,26396,Petrol,Manual,1st Owner,998,5,2020,Maruti
Thar CRDe,746000,60020,Diesel,Manual,1st Owner,1462,5,2017,Mahindra
Alto K10 2010-2014 VXI,268000,55107,Petrol,Manual,1st Owner,796,5,2014,Maruti
Ciaz Alpha AT,1243000,3925,Petrol,Automatic,1st Owner,1197,5,2022,Maruti
Alto 800 LXI,323000,21949,Petrol,Manual,1st Owner,1598,5,2017,Maruti
Swift Dzire VXI,500000,41899,Petrol,Manual,1st Owner,1497,5,2016,Maruti
Terrano XL P,725000,30000,Petrol,Manual,1st Owner,2400,5,2018,Nissan
City i-VTEC V,865000,28000,Petrol,Manual,1st Owner,1950,5,2018,Honda
XC60 D5 Inscription,6100000,20000,Diesel,Automatic,1st Owner,1950,5,2021,Volvo
GLC 220d 4MATIC,5650000,24000,Diesel,Automatic,1st Owner,1798,5,2020,Mercedes-Benz
GLE 300d,8900000,13000,Diesel,Automatic,1st Owner,998,5,2021,Mercedes-Benz
Superb Style 1.8 TSI AT,2175000,54000,Petrol,Automatic,1st Owner,1248,5,2017,Skoda
Alto K10 VXI,315000,30555,Petrol,Manual,1st Owner,1197,5,2016,Maruti
Ciaz VDi Plus SHVS,478000,119878,Diesel,Manual,1st Owner,1248,5,2015,Maruti
i20 1.2 Magna Opt,243000,84557,Petrol,Manual,1st Owner,1997,7,2011,Hyundai
Ciaz VDi Option SHVS,536000,96528,Diesel,Manual,1st Owner,999,5,2017,Maruti
XUV500 W10 1.99 mHawk,1124000,44081,Diesel,Manual,1st Owner,1248,5,2017,Mahindra
Kiger RXT AMT,775000,6494,Petrol,Automatic,1st Owner,998,5,2021,Renault
Swift VDI BSIV,340000,118631,Diesel,Manual,1st Owner,1198,5,2014,Maruti
Alto K10 VXI,351000,47133,Petrol,Manual,1st Owner,1197,5,2018,Maruti
Amaze S i-VTEC,456000,94025,Petrol,Manual,1st Owner,998,5,2017,Honda
i20 Magna 1.2,502000,68841,Petrol,Manual,1st Owner,1582,5,2016,Hyundai
Venue SX Plus Turbo DCT BSIV,1046000,31952,Petrol,Automatic,1st Owner,998,5,2019,Hyundai
Creta 1.6 CRDi SX,1130000,66518,Diesel,Manual,2nd Owner,1582,5,2019,Hyundai
Venue SX Plus Turbo DCT BSIV,1053000,26684,Petrol,Automatic,2nd Owner,1199,5,2019,Hyundai
Creta 1.6 CRDi SX,790000,38280,Diesel,Manual,1st Owner,1197,5,2015,Hyundai
Tiago 1.2 Revotron XZ,377000,96392,Petrol,Manual,1st Owner,2179,7,2017,Tata
Swift Dzire 1.2 ZXi BSIV,286000,92613,Petrol,Manual,1st Owner,1498,5,2011,Maruti
Scorpio S7 120,1178000,40011,Diesel,Manual,1st Owner,1396,5,2018,Mahindra
City i DTEC VX,533000,98772,Diesel,Manual,2nd Owner,1248,5,2015,Honda
i20 Asta 1.4 CRDi,350000,38931,Diesel,Manual,1st Owner,1396,5,2013,Hyundai
Swift LDI BSIV,427000,82392,Diesel,Manual,1st Owner,2179,7,2017,Maruti
i20 1.4 Asta,572000,96805,Diesel,Manual,1st Owner,998,5,2017,Hyundai
Scorpio S5 BSIV,998000,68307,Diesel,Manual,1st Owner,1197,5,2018,Mahindra
Wagon R LXI BS IV,375000,30404,Petrol,Manual,1st Owner,1248,5,2016,Maruti
Baleno 1.2 Alpha,630000,36438,Petrol,Manual,2nd Owner,2179,7,2018,Maruti
Swift VDI BSIV,376000,115206,Diesel,Manual,1st Owner,1451,5,2015,Maruti
XUV500 W6 2WD,623000,104537,Diesel,Manual,1st Owner,1995,5,2015,Mahindra
Hector Sharp DCT,1613000,29827,Petrol,Automatic,2nd Owner,1968,5,2019,MG
3 Series Luxury Edition,4450000,9200,Diesel,Automatic,1st Owner,2755,7,2020,BMW
Q3 35 TDI Quattro Premium Plus,1750000,39356,Diesel,Automatic,1st Owner,3198,7,2015,Audi
Innova Crysta 2.8 GX AT BSIV,1575000,55000,Diesel,Automatic,1st Owner,2755,7,2017,Toyota
Endeavour 3.2 Titanium AT 4X4,2875000,80000,Diesel,Automatic,1st Owner,2987,5,2018,Ford
Innova Crysta 2.8 GX AT BSIV,1945000,55000,Diesel,Automatic,1st Owner,1248,5,2019,Toyota
S-Class S 350 CDI,7150000,18000,Diesel,Automatic,1st Owner,1497,5,2017,Mercedes-Benz
Vitara Brezza VDi AMT,750000,43000,Diesel,Automatic,1st Owner,814,5,2018,Maruti
Creta EX,1273000,1000,Petrol,Manual,1st Owner,2143,5,2021,Hyundai
EON Era Plus,230000,67885,Petrol,Manual,1st Owner,998,5,2013,Hyundai
C-Class 220 CDI AT,1375000,40000,Diesel,Automatic,1st Owner,1396,5,2013,Mercedes-Benz
EON 1.0 Era Plus,230000,48421,Petrol,Manual,1st Owner,1197,5,2013,Hyundai
i20 Active 1.4 S,650000,110000,Diesel,Manual,1st Owner,1582,5,2018,Hyundai
Swift Dzire VXI,425000,49000,Petrol,Manual,1st Owner,1498,5,2014,Maruti
Verna 1.6 SX,450000,75000,Diesel,Manual,1st Owner,1150,5,2013,Hyundai
Ecosport 1.5 DV5 MT Titanium,410000,71000,Diesel,Manual,1st Owner,1968,5,2014,Ford
Aveo U-VA 1.2,90000,78000,Petrol,Manual,2nd Owner,1248,7,2009,Chevrolet
A6 35 TDI,2450000,68000,Diesel,Automatic,1st Owner,1198,5,2016,Audi
Ertiga ZDI,518000,94944,Diesel,Manual,1st Owner,1493,5,2015,Maruti
Amaze S Option i-VTEC,471000,6357,Petrol,Manual,1st Owner,1497,5,2017,Honda
Venue SX Opt Executive Diesel,1024000,24237,Diesel,Manual,1st Owner,1199,5,2022,Hyundai
Seltos HTX IVT G,1650000,28000,Petrol,Automatic,1st Owner,2755,7,2021,Kia
Amaze E Petrol,589000,10282,Petrol,Manual,1st Owner,2982,7,2020,Honda
Innova Crysta 2.8 ZX AT BSIV,1710000,111337,Diesel,Automatic,1st Owner,1995,5,2018,Toyota
Fortuner 4x2 Manual,1262000,127429,Diesel,Manual,1st Owner,1461,5,2014,Toyota
5 Series 520d Sport Line,4050000,55000,Diesel,Automatic,2nd Owner,1197,5,2018,BMW
Sunny Diesel XL,339000,61034,Diesel,Manual,2nd Owner,1120,5,2015,Nissan
Swift AMT ZXI,564000,76036,Petrol,Automatic,2nd Owner,1968,5,2018,Maruti
Grand i10 CRDi Sportz,275000,65000,Diesel,Manual,2nd Owner,1396,5,2014,Hyundai
Q5 30 TDI quattro Premium,1475000,80000,Diesel,Automatic,3rd Owner,2755,7,2015,Audi
Venue SX Opt Diesel BSIV,982000,64104,Diesel,Manual,1st Owner,1582,5,2019,Hyundai
Innova Crysta 2.8 GX AT BSIV,1576000,116378,Diesel,Automatic,1st Owner,998,5,2018,Toyota
Verna 1.6 CRDi SX,560000,42234,Diesel,Manual,2nd Owner,2179,7,2016,Hyundai
Venue SX Opt iMT,1150000,10000,Petrol,Manual,1st Owner,1197,5,2021,Hyundai
XUV500 W6 2WD,444000,49812,Diesel,Manual,2nd Owner,1198,5,2013,Mahindra
Ignis Sigma,502000,2294,Petrol,Manual,1st Owner,2967,5,2022,Maruti
Fabia 1.2 MPI Ambiente,117000,94679,Petrol,Manual,5th Owner,1248,5,2010,Skoda
Q5 3.0 TDI Quattro Technology,2100000,35000,Diesel,Automatic,1st Owner,998,5,2015,Audi
Ciaz ZDi,476000,57122,Diesel,Manual,1st Owner,1186,5,2014,Maruti
Wagon R VXI BS IV,332000,25122,Petrol,Manual,1st Owner,1582,5,2017,Maruti
Grand i10 1.2 CRDi Magna,350000,60000,Diesel,Manual,2nd Owner,1197,5,2017,Hyundai
Creta 1.6 SX Automatic Diesel,1425000,36000,Diesel,Automatic,2nd Owner,1396,5,2020,Hyundai
Baleno Delta,631000,38736,Petrol,Manual,1st Owner,2694,7,2020,Maruti
i20 Asta 1.4 CRDi,381000,130432,Diesel,Manual,1st Owner,1798,5,2014,Hyundai
Fortuner 2.7 2WD AT,3100000,44000,Petrol,Automatic,2nd Owner,2967,5,2019,Toyota
A6 35 TFSI Matrix,3675000,30000,Petrol,Automatic,1st Owner,1086,5,2018,Audi
Q5 3.0 TDI Quattro,995000,68000,Diesel,Automatic,3rd Owner,2179,7,2011,Audi
i10 Magna 1.1L,225000,38000,Petrol,Manual,1st Owner,1197,5,2011,Hyundai
XUV500 R W10 FWD,890000,65000,Diesel,Manual,1st Owner,2179,7,2015,Mahindra
Swift Dzire VXI 1.2 BS IV,650000,65000,Petrol,Manual,1st Owner,1368,5,2019,Maruti
Scorpio S5,1585000,12001,Diesel,Manual,1st Owner,1991,5,2022,Mahindra
Compass 1.4 Sport Plus BSIV,1375000,23000,Petrol,Manual,1st Owner,2967,7,2019,Jeep
E-Class Expression E 200 BSIV,4400000,65000,Petrol,Automatic,1st Owner,1198,5,2018,Mercedes-Benz
Q7 45 TDI Quattro Premium Plus,1875000,43000,Diesel,Automatic,2nd Owner,1969,5,2014,Audi
Brio S MT,265000,25000,Petrol,Manual,1st Owner,1995,4,2012,Honda
XC60 Inscription D5,6000000,7500,Diesel,Automatic,1st Owner,1198,6,2020,Volvo
6 Series GT 620d Luxury Line 2019-2021,6050000,50000,Diesel,Automatic,1st Owner,2359,5,2020,BMW
KUV 100 NXT G80 K8 Dual Tone,435000,36000,Petrol,Manual,1st Owner,1968,5,2017,Mahindra
Sonata 2.4 GDi MT,475000,86000,Petrol,Manual,1st Owner,2987,7,2012,Hyundai
Q3 2.0 TDI Quattro Premium Plus,1300000,56500,Diesel,Automatic,1st Owner,1196,5,2014,Audi
GLS 350d 4MATIC,5200000,70000,Diesel,Automatic,2nd Owner,1582,5,2016,Mercedes-Benz
Figo Petrol ZXI,265000,68000,Petrol,Manual,1st Owner,1950,5,2013,Ford
Verna CRDi 1.6 AT SX Plus,1000000,63500,Diesel,Automatic,1st Owner,1991,5,2017,Hyundai
C-Class Progressive C 220d,4100000,26500,Diesel,Automatic,1st Owner,1995,5,2019,Mercedes-Benz
GLC 200,6100000,15000,Petrol,Automatic,1st Owner,1498,5,2021,Mercedes-Benz
X1 xDrive 20d xLine,2850000,38500,Diesel,Automatic,1st Owner,1493,5,2018,BMW
Amaze VX CVT Diesel,925000,44500,Diesel,Automatic,1st Owner,2494,5,2019,Honda
i20 Sportz Diesel,975000,15500,Diesel,Manual,1st Owner,2755,7,2022,Hyundai
Camry 2.5 Hybrid,2350000,47000,Petrol,Automatic,1st Owner,2993,5,2017,Toyota
Fortuner 2.8 2WD AT BSIV,3350000,12000,Diesel,Automatic,1st Owner,1995,5,2018,Toyota
X5 xDrive 30d xLine,10000000,20500,Diesel,Automatic,1st Owner,2143,5,2022,BMW
3 Series 320d GT Luxury Line,1850000,64593,Diesel,Automatic,3rd Owner,1197,5,2014,BMW
GLE 250d,3650000,64000,Diesel,Automatic,1st Owner,2143,5,2016,Mercedes-Benz
Glanza G,700000,70000,Petrol,Manual,1st Owner,2755,7,2021,Toyota
E-Class E250 CDI Avantgarde,2200000,63203,Diesel,Automatic,2nd Owner,1997,5,2015,Mercedes-Benz
Fortuner 2.8 2WD AT,2900000,60500,Diesel,Automatic,1st Owner,799,5,2017,Toyota
F-Pace 2.0 R-Dynamic S Diesel,7400000,9900,Diesel,Automatic,1st Owner,998,5,2021,Jaguar
KWID RXL,285000,25000,Petrol,Manual,1st Owner,4367,5,2016,Renault
Wagon R CNG LXI BSIV,191000,65000,Cng,Manual,2nd Owner,1248,7,2011,Maruti
Rover Range Rover 4.4 Diesel LWB Autobiography,19000000,68500,Diesel,Automatic,1st Owner,1497,5,2019,Land
Ertiga ZDI,600000,43000,Diesel,Manual,2nd Owner,1396,5,2014,Maruti
City i VTEC VX,590000,70000,Petrol,Manual,1st Owner,1998,5,2015,Honda
i20 Sportz 1.4 CRDi,275000,150000,Diesel,Manual,3rd Owner,796,5,2013,Hyundai
X4 xDrive30i M Sport Silver Shadow Edition,7450000,7600,Petrol,Automatic,1st Owner,1582,5,2022,BMW
Alto 800 LXI,307000,31458,Petrol,Manual,1st Owner,998,5,2021,Maruti
Elantra CRDi S,525000,70372,Diesel,Manual,1st Owner,2998,7,2013,Hyundai
Wagon R LXI CNG,190000,129325,Cng,Manual,1st Owner,1497,5,2012,Maruti
X7 xDrive 40i,11500000,39000,Petrol,Automatic,1st Owner,2694,7,2019,BMW
City V MT,1015000,17000,Petrol,Manual,1st Owner,2143,5,2021,Honda
Fortuner 2.7 2WD AT,3500000,20000,Petrol,Automatic,1st Owner,2987,5,2020,Toyota
B Class B180 CDI,765000,57000,Diesel,Automatic,3rd Owner,1498,5,2013,Mercedes-Benz
S-Class S 350 CDI,5100000,40000,Diesel,Automatic,1st Owner,1196,5,2015,Mercedes-Benz
Ecosport 1.5 Diesel Titanium,950000,46000,Diesel,Manual,1st Owner,624,4,2020,Ford
Eeco CNG 5 Seater AC BSIV,500000,18000,Cng,Manual,1st Owner,2487,5,2019,Maruti
Nano Twist XT,85671,59290,Petrol,Manual,4th Owner,1196,5,2015,Tata
Camry Hybrid 2.5,4090000,20000,Petrol,Automatic,1st Owner,1198,5,2019,Toyota
Eeco 5 Seater AC BSIV,210000,18000,Petrol,Manual,1st Owner,1198,5,2012,Maruti
Micra Active XV,355000,56000,Petrol,Manual,1st Owner,1995,5,2018,Nissan
Ameo 1.2 MPI Highline,455000,66000,Petrol,Manual,2nd Owner,1461,5,2016,Volkswagen
5 Series 520d Luxury Line,4600000,43000,Diesel,Automatic,1st Owner,2993,5,2019,BMW
Terrano XL 85 PS,425000,67000,Diesel,Manual,1st Owner,1493,7,2014,Nissan
X6 xDrive 40d M Sport,3790000,75000,Diesel,Automatic,2nd Owner,998,5,2015,BMW
TUV 300 mHAWK100 T8,645000,47000,Diesel,Manual,1st Owner,1968,5,2017,Mahindra
Venue SX Sport iMT,1075000,8800,Petrol,Manual,1st Owner,1197,5,2021,Hyundai
Q5 2.0 TDI Premium Plus,1600000,94002,Diesel,Automatic,2nd Owner,1797,5,2014,Audi
Ignis Sigma,525000,12000,Petrol,Manual,1st Owner,1956,5,2021,Maruti
Elantra SX AT,765000,75000,Petrol,Automatic,1st Owner,2143,5,2015,Hyundai
Compass 2.0 Sport Plus BSIV,1575000,62000,Diesel,Manual,1st Owner,2993,5,2019,Jeep
C-Class C 220 CDI Avantgarde,1190000,90004,Diesel,Automatic,3rd Owner,1997,7,2014,Mercedes-Benz
X5 xDrive 30d M Sport,2900000,83005,Diesel,Automatic,2nd Owner,2143,5,2014,BMW
XUV500 W10 1.99 mHawk,1095000,47000,Diesel,Manual,1st Owner,2494,7,2018,Mahindra
GLE 250d,4400000,49000,Diesel,Automatic,1st Owner,1498,5,2017,Mercedes-Benz
Innova 2.5 ZX Diesel 7 Seater BSIII,1200000,70000,Diesel,Manual,1st Owner,1498,5,2015,Toyota
Ecosport 1.5 Diesel Titanium,475000,62500,Diesel,Manual,1st Owner,1950,5,2015,Ford
Ecosport 1.5 Diesel Titanium,725000,49036,Diesel,Manual,1st Owner,1595,5,2017,Ford
E-Class Expression E 220 d BSIV,5800000,17000,Diesel,Automatic,1st Owner,1197,5,2020,Mercedes-Benz
B Class B180 Sports,1290000,67000,Petrol,Automatic,2nd Owner,1950,5,2013,Mercedes-Benz
Swift ZXI BSIV,441000,39889,Petrol,Manual,2nd Owner,2967,4,2017,Maruti
E-Class Exclusive E 220d,7625000,2000,Diesel,Automatic,1st Owner,1498,5,2022,Mercedes-Benz
A8 L 50 TDI Quattro Premium Plus,4200000,81250,Diesel,Automatic,1st Owner,1995,5,2015,Audi
Ecosport 1.5 Diesel Titanium Plus,525000,43000,Diesel,Manual,1st Owner,1196,5,2016,Ford
X3 xDrive 20d Luxury Line,6000000,19000,Diesel,Automatic,1st Owner,1498,5,2021,BMW
Figo 1.2P Titanium Plus MT,395000,29000,Petrol,Manual,2nd Owner,2993,4,2016,Ford
Astor Sharp CVT,1725000,2400,Petrol,Automatic,1st Owner,1796,5,2022,MG
XJ 3.0L LWB Ultimate,2290000,79004,Diesel,Automatic,2nd Owner,1798,5,2012,Jaguar
C-Class C 200 CGI Grand Edition,3650000,28000,Petrol,Automatic,1st Owner,2143,5,2018,Mercedes-Benz
Corolla Altis VL AT,875000,99300,Petrol,Automatic,2nd Owner,4367,5,2015,Toyota
M-Class ML 250 CDI,2190000,80000,Diesel,Automatic,2nd Owner,2993,4,2014,Mercedes-Benz
Rover Range Rover Vogue SE 4.4 SDV8,3525000,87002,Diesel,Automatic,2nd Owner,1968,5,2013,Land
7 Series 730Ld DPE Signature,13000000,19000,Diesel,Automatic,1st Owner,1968,5,2021,BMW
Q5 2.0 TDI Premium Plus,1425000,94002,Diesel,Automatic,2nd Owner,4367,5,2013,Audi
A6 2.0 TDI Premium Plus,1425000,82005,Diesel,Automatic,2nd Owner,1796,5,2013,Audi
Rover Range Rover Vogue SE 4.4 SDV8,3975000,95004,Diesel,Automatic,1st Owner,1998,5,2013,Land
C-Class C 200 CGI Grand Edition,3650000,25000,Petrol,Automatic,1st Owner,1498,5,2018,Mercedes-Benz
X1 sDrive20i xLine,2810000,68753,Petrol,Automatic,2nd Owner,1582,5,2019,BMW
Ecosport 1.5 DV5 MT Titanium,475000,62500,Diesel,Manual,1st Owner,1950,5,2015,Ford
Creta 1.6 CRDi AT S Plus,895000,85000,Diesel,Automatic,1st Owner,1498,5,2017,Hyundai
C-Class Progressive C 200,4990000,12000,Petrol,Automatic,1st Owner,1248,5,2021,Mercedes-Benz
WR-V i-DTEC VX,699000,58000,Diesel,Manual,1st Owner,1248,5,2017,Honda
Baleno 1.3 Zeta,620000,55500,Diesel,Manual,1st Owner,1950,5,2018,Maruti
Baleno 1.3 Zeta,625000,54000,Diesel,Manual,1st Owner,1956,5,2018,Maruti
C-Class Progressive C 200,4790000,12000,Petrol,Automatic,1st Owner,1956,5,2021,Mercedes-Benz
Harrier XM,1250000,32500,Diesel,Manual,1st Owner,1086,5,2019,Tata
Harrier XM,1260000,33500,Diesel,Manual,1st Owner,1997,5,2019,Tata
i10 Era 1.1 iTech SE,221000,60000,Petrol,Manual,1st Owner,2523,7,2012,Hyundai
Rover Range Rover Velar R-Dynamic S Petrol MY21,8500000,38000,Petrol,Automatic,1st Owner,1248,5,2020,Land
Bolero SLX 2WD BSIII,450000,120000,Diesel,Manual,1st Owner,998,5,2015,Mahindra
Vitara Brezza LDi Option,635000,64000,Diesel,Manual,1st Owner,1996,7,2017,Maruti
Wagon R CNG LXI BSIV,400000,59000,Cng,Manual,1st Owner,1451,5,2017,Maruti
Gloster Savvy 7-Str,3965000,11000,Diesel,Automatic,2nd Owner,999,5,2021,MG
Hector Sharp DCT,1800000,12023,Petrol,Automatic,1st Owner,1969,5,2021,MG
KWID Climber 1.0 AMT BSIV,470000,30000,Petrol,Automatic,1st Owner,0,5,2019,Renault
S90 D4 Inscription BSIV,4475000,20000,Diesel,Automatic,1st Owner,1950,5,2018,Volvo
ZS EV Exclusive,2110000,38000,Electric,Automatic,1st Owner,1998,5,2020,MG
C-Class Progressive C 200,3650000,16500,Petrol,Automatic,1st Owner,1950,5,2018,Mercedes-Benz
Cooper D,1890000,29000,Diesel,Automatic,2nd Owner,1197,5,2014,Mini
C-Class Progressive C 220d,3900000,24000,Diesel,Automatic,2nd Owner,1498,5,2020,Mercedes-Benz
Swift LXI,483000,37229,Petrol,Manual,1st Owner,2993,5,2020,Maruti
City i DTEC VX,490000,100000,Diesel,Manual,3rd Owner,2179,7,2015,Honda
X5 xDrive 30d,2975000,85000,Diesel,Automatic,2nd Owner,1968,5,2015,BMW
XUV500 W6 2WD,431000,90928,Diesel,Manual,1st Owner,1498,5,2013,Mahindra
A3 35 TDI Premium Plus,2580000,39000,Diesel,Automatic,1st Owner,1950,5,2020,Audi
Vento 1.5 TDI Highline AT,500000,78000,Diesel,Automatic,1st Owner,1373,7,2015,Volkswagen
GLC Coupe 300d 4MATIC,7150000,24900,Diesel,Automatic,1st Owner,1399,5,2021,Mercedes-Benz
Ertiga VXI CNG,725000,44000,Cng,Manual,1st Owner,1497,5,2016,Maruti
Figo Diesel Titanium,193000,86483,Diesel,Manual,3rd Owner,1997,5,2014,Ford
City Edge Edition SV,900000,20000,Petrol,Manual,1st Owner,1598,5,2019,Honda
XF 2.0 Petrol Prestige,4700000,7500,Petrol,Automatic,1st Owner,2755,7,2020,Jaguar
Duster Petrol RxL,575000,49000,Petrol,Manual,2nd Owner,1462,7,2017,Renault
Innova Crysta 2.8 GX AT BSIV,1875000,26000,Diesel,Automatic,1st Owner,4461,7,2018,Toyota
Ertiga CNG VXI,675000,65000,Cng,Manual,1st Owner,1197,5,2015,Maruti
Land Cruiser VX,15800000,56000,Diesel,Automatic,1st Owner,1248,5,2018,Toyota
Glanza G,606000,40252,Petrol,Manual,1st Owner,1582,5,2020,Toyota
Swift VDI BSIV,323000,97947,Diesel,Manual,2nd Owner,1197,5,2014,Maruti
Creta 1.6 CRDi AT SX Plus,716000,150715,Diesel,Automatic,1st Owner,1968,5,2015,Hyundai
i10 Sportz,158000,102820,Petrol,Manual,1st Owner,1462,7,2010,Hyundai
New Laura Ambiente 2.0 TDI CR AT,253000,109403,Diesel,Automatic,3rd Owner,1993,5,2012,Skoda
Ertiga VXI AT,858000,37377,Petrol,Automatic,1st Owner,1197,5,2019,Maruti
C-Class C 220d,6200000,4000,Diesel,Automatic,1st Owner,1461,5,2022,Mercedes-Benz
Swift Dzire VXI,367000,84728,Petrol,Manual,2nd Owner,1968,5,2015,Maruti
Duster 85PS Diesel RxE,324000,53548,Diesel,Manual,2nd Owner,1497,5,2013,Renault
A6 2.0 TDI,1619000,29397,Diesel,Automatic,1st Owner,1197,5,2014,Audi
City i VTEC CVT VX,775000,64000,Petrol,Automatic,1st Owner,1997,7,2016,Honda
Grand i10 Asta,406000,30346,Petrol,Manual,1st Owner,1248,5,2016,Hyundai
XUV500 W10 1.99 mHawk,1063000,42119,Diesel,Manual,1st Owner,1396,5,2017,Mahindra
Swift Dzire VDI,327000,120450,Diesel,Manual,2nd Owner,1198,5,2014,Maruti
Creta 1.4 CRDi S,835000,70000,Diesel,Manual,1st Owner,1991,4,2017,Hyundai
Amaze S i-Vtech,440000,59534,Petrol,Manual,2nd Owner,1373,5,2015,Honda
Cruze LTZ AT,650000,90000,Diesel,Automatic,2nd Owner,2494,8,2016,Chevrolet
Ciaz 1.4 Zeta,750000,63001,Petrol,Manual,1st Owner,1950,5,2017,Maruti
Innova 2.5 VX (Diesel) 8 Seater,1350000,153000,Diesel,Manual,1st Owner,1197,5,2014,Toyota
