car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,engine_in_cc,Seats,manufacture,company_name
Wagon R VXI BS IV,180000,128004,Petrol,Manual,2nd Owner,998,5,2012,Maruti
Beat Diesel PS,110000,150349,Diesel,Manual,1st Owner,936,5,2012,Chevrolet
Wagon R VXI BS IV,369000,29033,Petrol,Manual,1st Owner,998,5,2017,Maruti
3 Series 320d Luxury Line,1350000,99000,Diesel,Automatic,1st Owner,1995,5,2015,BMW
KWID RXL,275000,47000,Petrol,Manual,1st Owner,799,5,2018,Renault
Baleno 1.3 Sigma,550000,35000,Diesel,Manual,1st Owner,1248,5,2018,Maruti
C-Class C 220 CDI BE COR,975000,58000,Diesel,Automatic,1st Owner,2143,5,2013,Mercedes-Benz
Amaze VX AT i-Vtech,475000,45000,Petrol,Automatic,1st Owner,1198,5,2014,Honda
EON D Lite,190000,60000,Petrol,Manual,2nd Owner,814,5,2012,Hyundai
i20 Magna Optional 1.2,465000,23000,Petrol,Manual,1st Owner,1197,5,2014,Hyundai
Grand i10 1.2 Kappa Era,460000,45000,Petrol,Manual,1st Owner,1197,5,2019,Hyundai
i10 Magna 1.1L,325000,45000,Petrol,Manual,1st Owner,1086,5,2014,Hyundai
Ertiga VDI,525000,58000,Diesel,Manual,1st Owner,1248,7,2013,Maruti
i20 1.2 Spotz,625000,48000,Petrol,Manual,1st Owner,1197,5,2018,Hyundai
2 Series 220i M Sport,4000000,18000,Petrol,Automatic,1st Owner,1998,5,2021,BMW
Kushaq 1.0 TSI Style 6 Airbags AT,1675000,16000,Petrol,Automatic,1st Owner,999,5,2022,Skoda
City i-VTEC VX,1000000,24000,Petrol,Manual,1st Owner,1497,5,2019,Honda
Hector Plus Select Diesel MT 7 STR,1790000,36000,Diesel,Manual,1st Owner,1956,7,2021,MG
Compass 1.4 Limited Plus,1390000,35000,Petrol,Automatic,2nd Owner,1368,5,2019,Jeep
Amaze E Petrol BSIV,610000,64000,Petrol,Manual,1st Owner,1199,5,2019,Honda
Vitara Brezza VDi,775000,72000,Diesel,Manual,1st Owner,1248,5,2017,Maruti
Grand i10 Magna,460000,29900,Petrol,Manual,1st Owner,1197,5,2015,Hyundai
XUV700 AX5 Diesel AT,2091000,20000,Diesel,Automatic,1st Owner,2198,5,2022,Mahindra
Indigo VX BSIV,310000,160000,Diesel,Manual,1st Owner,1396,5,2013,Tata
Tiago XZ Plus,565000,16000,Petrol,Manual,1st Owner,1199,5,2020,Tata
WR-V i-VTEC VX,900000,17000,Petrol,Manual,1st Owner,1199,5,2019,Honda
NX 300h,4200000,111000,Petrol,Automatic,1st Owner,2499,5,2018,Lexus
M-Class ML 250 CDI,2850000,38000,Diesel,Automatic,2nd Owner,2143,5,2015,Mercedes-Benz
Jazz 1.5 SV i DTEC,550000,32000,Diesel,Manual,1st Owner,1498,5,2015,Honda
Polo 1.2 MPI Comfortline,450000,67000,Petrol,Manual,1st Owner,1198,5,2015,Volkswagen
Ecosport 1.5 Petrol Titanium AT,675000,50000,Petrol,Automatic,1st Owner,1496,5,2016,Ford
Swift VDI BSIV,180000,110000,Diesel,Manual,2nd Owner,1248,5,2010,Maruti
Verna VTVT 1.6 AT EX,775000,51000,Petrol,Automatic,1st Owner,1591,5,2017,Hyundai
Grand i10 1.2 CRDi Sportz,550000,83000,Diesel,Manual,1st Owner,1186,5,2017,Hyundai
Q3 35 TDI Quattro Premium,2400000,38000,Diesel,Automatic,1st Owner,1968,5,2016,Audi
Creta 1.6 SX Automatic Diesel,1325000,58000,Diesel,Automatic,1st Owner,1582,5,2018,Hyundai
Creta 1.6 SX,1100000,36000,Petrol,Manual,1st Owner,1591,5,2018,Hyundai
Vento 1.0 TSI Highline AT,1050000,23500,Petrol,Automatic,1st Owner,999,5,2020,Volkswagen
i20 1.2 Magna Executive,650000,60000,Petrol,Manual,1st Owner,1197,5,2017,Hyundai
Superb LK 1.8 TSI AT,2500000,18000,Petrol,Automatic,1st Owner,1798,5,2018,Skoda
Amaze V Petrol BSIV,600000,36500,Petrol,Manual,1st Owner,1199,5,2017,Honda
Superb Sportline,3100000,25000,Petrol,Automatic,1st Owner,1984,5,2021,Skoda
Seltos HTX IVT,1575000,20500,Petrol,Automatic,1st Owner,1497,5,2020,Kia
Amaze S i-Vtech,450000,30000,Petrol,Manual,1st Owner,1198,5,2015,Honda
i20 Magna 1.2,590000,59000,Petrol,Manual,1st Owner,1197,5,2017,Hyundai
X1 sDrive 20d xLine,1450000,80000,Diesel,Automatic,1st Owner,1995,5,2014,BMW
Xcent 1.2 CRDi E Plus,380000,50000,Diesel,Manual,2nd Owner,1186,5,2017,Hyundai
Harrier XZAS Plus Kaziranga Edition AT,2100000,32000,Diesel,Automatic,1st Owner,1956,5,2021,Tata
i10 Era 1.1 iTech SE,261000,120000,Petrol,Manual,2nd Owner,1086,5,2012,Hyundai
Rover Discovery 2.0 R-Dynamic HSE,11000000,33000,Petrol,Automatic,1st Owner,1997,7,2021,Land
3 DOOR Cooper S,4200000,6900,Petrol,Automatic,1st Owner,1998,4,2019,Mini
Harrier XZA Plus Kaziranga Edition AT,2250000,4500,Diesel,Automatic,1st Owner,1956,5,2022,Tata
S90 D4 Inscription BSIV,4200000,51000,Diesel,Automatic,1st Owner,1969,5,2018,Volvo
Seltos GTX Plus AT D,1975000,12000,Diesel,Automatic,1st Owner,1493,5,2022,Kia
Vitara Brezza ZDi Plus,950000,37000,Diesel,Manual,1st Owner,1248,5,2018,Maruti
Verna SX Opt Diesel,1451000,35000,Diesel,Manual,1st Owner,1493,5,2021,Hyundai
Wagon R VXI Optional,300000,80000,Petrol,Manual,2nd Owner,998,5,2016,Maruti
Grand i10 Magna,460000,60000,Petrol,Manual,1st Owner,1197,5,2016,Hyundai
Amaze VX CVT,915000,10000,Petrol,Automatic,1st Owner,1199,5,2022,Honda
Ignis Zeta AMT,550000,59385,Petrol,Automatic,1st Owner,1197,5,2019,Maruti
XF 3.0 Litre S Premium Luxury,1700000,51000,Diesel,Automatic,2nd Owner,2993,5,2012,Jaguar
XUV500 AT W6 1.99 mHawk,990000,74000,Diesel,Automatic,1st Owner,1997,7,2017,Mahindra
Nexon 1.2 Revotron XMA,851000,29000,Petrol,Automatic,1st Owner,1198,5,2020,Tata
Compass Model S 4X4 Diesel AT,2750000,12200,Diesel,Automatic,1st Owner,1956,5,2021,Jeep
Grand i10 1.2 Kappa Sportz Option AT,550000,40000,Petrol,Automatic,3rd Owner,1197,5,2019,Hyundai
Verna CRDi 1.6 SX,951000,58000,Diesel,Manual,1st Owner,1582,5,2018,Hyundai
Innova Crysta 2.8 ZX AT BSIV,1990000,75000,Diesel,Automatic,2nd Owner,2755,7,2019,Toyota
Rover Discovery Sport TD4 HSE 7S,3550000,72000,Diesel,Automatic,1st Owner,1999,7,2018,Land
Aspire 1.2 Ti-VCT Titanium,550000,23400,Petrol,Manual,1st Owner,1196,5,2017,Ford
Aspire 1.2 Ti-VCT Ambiente,390000,59300,Petrol,Manual,1st Owner,1196,5,2017,Ford
Creta 1.4 CRDi S,890000,72000,Diesel,Manual,1st Owner,1396,5,2016,Hyundai
Swift Dzire LDI,451000,67000,Diesel,Manual,1st Owner,1248,5,2017,Maruti
Amaze S CVT i-VTEC,725000,33500,Petrol,Automatic,1st Owner,1199,5,2018,Honda
Creta SX Executive,1275000,17000,Petrol,Manual,2nd Owner,1497,5,2021,Hyundai
Ameo 1.5 TDI Highline AT,690000,33000,Diesel,Automatic,1st Owner,1498,5,2016,Volkswagen
Polo GT TSI,675000,49000,Petrol,Automatic,1st Owner,1197,5,2015,Volkswagen
Grand i10 AT Asta,565000,26000,Petrol,Automatic,1st Owner,1197,5,2015,Hyundai
Venue SX Opt iMT,1000000,14500,Petrol,Manual,1st Owner,998,5,2020,Hyundai
Seltos GTX Plus AT D,1975000,10000,Diesel,Automatic,1st Owner,1493,5,2022,Kia
Hector Plus Sharp DCT,1700000,15001,Petrol,Automatic,1st Owner,1451,6,2020,MG
Octavia Elegance 1.8 TSI AT,975000,55000,Petrol,Automatic,2nd Owner,1798,5,2015,Skoda
Corolla Altis G,650000,38000,Petrol,Manual,1st Owner,1798,5,2013,Toyota
Endeavour 4x4 XLT,400000,110000,Diesel,Manual,2nd Owner,2953,7,2005,Ford
Amaze S AT i-Vtech,475000,65413,Petrol,Automatic,1st Owner,1198,5,2013,Honda
Jazz Mode,280000,45000,Petrol,Manual,2nd Owner,1198,5,2009,Honda
Figo 1.2P Trend MT,430000,44000,Petrol,Manual,1st Owner,1196,5,2017,Ford
Grand i10 1.2 Kappa Magna BSIV,490000,40000,Petrol,Manual,1st Owner,1197,5,2017,Hyundai
Ecosport 1.5 Petrol Titanium AT,651000,49000,Petrol,Automatic,1st Owner,1496,5,2016,Ford
Thar LX 4-Str Hard Top Diesel AT,1751000,19000,Diesel,Automatic,1st Owner,2184,4,2022,Mahindra
i20 Magna Optional 1.4 CRDi,391000,56000,Diesel,Manual,2nd Owner,1396,5,2013,Hyundai
City 1.5 V MT,375000,65000,Petrol,Manual,2nd Owner,1497,5,2010,Honda
Etios G,490000,27680,Petrol,Manual,1st Owner,1496,5,2013,Toyota
Seltos GTX Plus AT D,1825000,27305,Diesel,Automatic,1st Owner,1493,5,2021,Kia
3 Series 320d,3300000,10793,Diesel,Automatic,1st Owner,1995,5,2019,BMW
X3 xDrive 20d Luxury Line,5600000,12000,Diesel,Automatic,1st Owner,1995,5,2020,BMW
Hector Sharp DCT,1499000,44000,Petrol,Automatic,1st Owner,1451,5,2019,MG
Seltos HTK G,1199000,63000,Petrol,Manual,1st Owner,1497,5,2020,Kia
i20 Sportz Plus Diesel,650000,87000,Diesel,Manual,1st Owner,1396,5,2019,Hyundai
Alto LXi,190000,61000,Petrol,Manual,1st Owner,796,5,2010,Maruti
i20 Sportz Option 1.4 CRDi,625000,72000,Diesel,Manual,1st Owner,1396,5,2016,Hyundai
A4 2.0 TDI Multitronic,1651000,70000,Diesel,Automatic,1st Owner,1968,5,2015,Audi
Micra Diesel XV,225000,58000,Diesel,Manual,2nd Owner,1461,5,2012,Nissan
